category,name,fr,en,es
California,EBI MAKI CHEESE,"Crevette, avocat, concombre, wonton frit, roulé Philadelphia","Shrimp, avocado, cucumber, fried wonton, wrapped in Philadelphia","Camarón, palta, pepino, wantán frito, envuelto en Philadelphia"
California,SURIMI MAKI,"Kanikama, avocat, fromage Philadelphia, oignon vert, roulé Philadelphia","Crab stick, avocado, cream cheese, green onion, wrapped in Philadelphia","Kanikama, palta, queso crema, cebollín, envuelto en Philadelphia"
California,EBI MAKI SAUMON,"Crevette tempura, fromage Philadelphia, ciboulette, roulé Philadelphia","Tempura shrimp, cream cheese, chives, wrapped in Philadelphia","Camarón tempura, queso crema, ciboulette, envuelto en Philadelphia"
California,TORI MAKI CIBOULETTE,"Poulet tempura, fromage Philadelphia, poivron rouge, roulé Philadelphia","Tempura chicken, cream cheese, red pepper, wrapped in Philadelphia","Pollo tempura, queso crema, pimentón rojo, envuelto en Philadelphia"
California,SAKE MAKI AVOCADO,"Saumon, fromage Philadelphia, ciboulette, roulé Philadelphia","Salmon, cream cheese, chives, wrapped in Philadelphia","Salmón, queso crema, ciboulette, envuelto en Philadelphia"
California,TAKO MAKI MASSAGO,"Poulpe tempura, avocat, fromage Philadelphia, roulé Philadelphia","Tempura octopus, avocado, cream cheese, wrapped in Philadelphia","Pulpo tempura, palta, queso crema, envuelto en Philadelphia"
California,MAGURO MAKI,"Thon, fromage Philadelphia, avocat, oignon vert, roulé Philadelphia","Tuna, cream cheese, avocado, green onion, wrapped in Philadelphia","Atún, queso crema, palta, cebollín, envuelto en Philadelphia"
California,TERIYAKI MAKI SÉSAME,"Poulet teriyaki, fromage Philadelphia, poivron rouge, champignon, roulé Philadelphia","Teriyaki chicken, cream cheese, red pepper, mushroom, wrapped in Philadelphia","Pollo teriyaki, queso crema, pimentón rojo, champiñón, envuelto en Philadelphia"
California,KINOKO YAKI MAKI,"Champignons sautés, olives noires, oignon vert, poivron rouge, roulé Philadelphia","Sautéed mushrooms, black olives, green onion, red pepper, wrapped in Philadelphia","Champiñones salteados, aceitunas negras, cebollín, pimentón rojo, envuelto en Philadelphia"
California,IZUMI MAKI TUNA,"Tilapia tempura, avocat, fromage Philadelphia, roulé Philadelphia","Tempura tilapia, avocado, cream cheese, wrapped in Philadelphia","Tilapia tempura, palta, queso crema, envuelto en Philadelphia"
California,HOTOTE MAKI SAUMON,"Pétoncles, fromage Philadelphia, ciboulette, roulé Philadelphia","Scallops, cream cheese, chives, wrapped in Philadelphia","Ostiones, queso crema, ciboulette, envuelto en Philadelphia"
California,KANI NUKI PHILADELPHIA,"Crabe, concombre, avocat, roulé Philadelphia","Crab, cucumber, avocado, wrapped in Philadelphia","Cangrejo, pepino, palta, envuelto en Philadelphia"
California,YUKIGANI MAKI ROLL,"Homard, avocat, poivron rouge, roulé Philadelphia","Lobster, avocado, red pepper, wrapped in Philadelphia","Langosta, palta, pimentón rojo, envuelto en Philadelphia"
California,KAIO MAKI ROLL,"Crabe des neiges, avocat, poivron rouge, roulé Philadelphia","Snow crab, avocado, red pepper, wrapped in Philadelphia","Cangrejo de las nieves, palta, pimentón rojo, envuelto en Philadelphia"
California,SUMOOKU MAKI AVOCADO,"Saumon fumé, fromage Philadelphia, ciboulette, oignon frit, roulé Philadelphia","Smoked salmon, cream cheese, chives, crispy onion, wrapped in Philadelphia","Salmón ahumado, queso crema, ciboulette, cebolla frita, envuelto en Philadelphia"
Makis,EBI MAKI CHEESE,"Crevette, avocat, concombre, wonton frit, roulé nori","Shrimp, avocado, cucumber, fried wonton, nori roll","Camarón, palta, pepino, wantán frito, envuelto en nori"
Makis,SURIMI MAKI,"Kanikama, avocat, fromage Philadelphia, oignon vert, roulé nori","Crab stick, avocado, cream cheese, green onion, nori roll","Kanikama, palta, queso crema, cebollín, envuelto en nori"
Makis,EBI MAKI SAUMON,"Crevette tempura, fromage Philadelphia, ciboulette, roulé nori","Tempura shrimp, cream cheese, chives, nori roll","Camarón tempura, queso crema, ciboulette, envuelto en nori"
Makis,TORI MAKI CIBOULETTE,"Poulet tempura, fromage Philadelphia, poivron rouge, roulé nori","Tempura chicken, cream cheese, red pepper, nori roll","Pollo tempura, queso crema, pimentón rojo, envuelto en nori"
Makis,SAKE MAKI AVOCADO,"Saumon, fromage Philadelphia, ciboulette, roulé nori","Salmon, cream cheese, chives, nori roll","Salmón, queso crema, ciboulette, envuelto en nori"
Makis,TAKO MAKI MASSAGO,"Poulpe tempura, avocat, fromage Philadelphia, roulé nori","Tempura octopus, avocado, cream cheese, nori roll","Pulpo tempura, palta, queso crema, envuelto en nori"
Makis,MAGURO MAKI,"Thon, fromage Philadelphia, avocat, oignon vert, roulé nori","Tuna, cream cheese, avocado, green onion, nori roll","Atún, queso crema, palta, cebollín, envuelto en nori"
Makis,TERIYAKI MAKI SÉSAME,"Poulet teriyaki, fromage Philadelphia, poivron rouge, champignon, roulé nori","Teriyaki chicken, cream cheese, red pepper, mushroom, nori roll","Pollo teriyaki, queso crema, pimentón rojo, champiñón, envuelto en nori"
Makis,KINOKO YAKI MAKI,"Champignons sautés, olives noires, oignon vert, poivron rouge, roulé nori","Sautéed mushrooms, black olives, green onion, red pepper, nori roll","Champiñones salteados, aceitunas negras, cebollín, pimentón rojo, envuelto en nori"
Makis,IZUMI MAKI TUNA,"Tilapia tempura, avocat, fromage Philadelphia, roulé nori","Tempura tilapia, avocado, cream cheese, nori roll","Tilapia tempura, palta, queso crema, envuelto en nori"
Makis,HOTOTE MAKI SAUMON,"Pétoncles, fromage Philadelphia, ciboulette, roulé nori","Scallops, cream cheese, chives, nori roll","Ostiones, queso crema, ciboulette, envuelto en nori"
Makis,KANI NUKI PHILADELPHIA,"Crabe, concombre, avocat, roulé nori","Crab, cucumber, avocado, nori roll","Cangrejo, pepino, palta, envuelto en nori"
Makis,YUKIGANI MAKI ROLL,"Homard, avocat, poivron rouge, roulé nori","Lobster, avocado, red pepper, nori roll","Langosta, palta, pimentón rojo, envuelto en nori"
Makis,KAIO MAKI ROLL,"Crabe des neiges, avocat, poivron rouge, roulé nori","Snow crab, avocado, red pepper, nori roll","Cangrejo de las nieves, palta, pimentón rojo, envuelto en nori"
Makis,SUMOOKU MAKI AVOCADO,"Saumon fumé, fromage Philadelphia, ciboulette, oignon frit, roulé nori","Smoked salmon, cream cheese, chives, crispy onion, nori roll","Salmón ahumado, queso crema, ciboulette, cebolla frita, envuelto en nori"
Hosomakis,AVOCADO,"Avocat et fromage Philadelphia, roulé nori","Avocado and cream cheese, nori roll","Palta y queso crema, envuelto en nori"
Hosomakis,SAKE,"Saumon et fromage Philadelphia, roulé nori","Salmon and cream cheese, nori roll","Salmón y queso crema, envuelto en nori"
Hosomakis,SURIMI,"Kanikama et oignon, roulé nori","Crab stick and onion, nori roll","Kanikama y cebolla, envuelto en nori"
Hosomakis,EBI,"Crevette et avocat, roulé nori","Shrimp and avocado, nori roll","Camarón y palta, envuelto en nori"
Hosomakis,MAGURO,"Thon et fromage Philadelphia, roulé nori","Tuna and cream cheese, nori roll","Atún y queso crema, envuelto en nori"
Hosomakis,TORI TERIYAKI,"Poulet teriyaki et oignon, roulé nori","Teriyaki chicken and onion, nori roll","Pollo teriyaki y cebolla, envuelto en nori"
Hosomakis,TAKO,"Poulpe panko et avocat, roulé nori","Panko octopus and avocado, nori roll","Pulpo panko y palta, envuelto en nori"
Hosomakis,YASAI,"Concombre, poivron, oignon et fromage Philadelphia, roulé nori","Cucumber, red pepper, onion and cream cheese, nori roll","Pepino, pimentón, cebolla y queso crema, envuelto en nori"
Futomakis,SAKE EBI MAKI,"Saumon, crevettes, concombre, avocat, oignon vert","Salmon, shrimp, cucumber, avocado, green onion","Salmón, camarón, pepino, palta, cebollín"
Futomakis,MAGURO TAKO MAKI,"Thon, poulpe, paprika, avocat, fromage Philadelphia","Tuna, octopus, paprika, avocado, cream cheese","Atún, pulpo, pimentón, palta, queso crema"
Futomakis,IZUMI MAGURO MAKI,"Tilapia, thon, laitue, patate douce, ciboulette","Tilapia, tuna, lettuce, sweet potato, chives","Tilapia, atún, lechuga, camote, ciboulette"
Futomakis,HOTOTE SURIMI MAKI,"Pétoncles, kanikama, carottes, avocat, oignon vert","Scallops, crab stick, carrots, avocado, green onion","Ostiones, kanikama, zanahoria, palta, cebollín"
Futomakis,TORI EBI NIKKEI MAKI,"Poulet tempura, crevette tempura, paprika, avocat, concombre","Tempura chicken, tempura shrimp, paprika, avocado, cucumber","Pollo tempura, camarón tempura, pimentón, palta, pepino"
Niguiris,SAUMON,"Saumon frais","Fresh salmon","Salmón fresco"
Niguiris,SAUMON FUMÉ,"Saumon fumé","Smoked salmon","Salmón ahumado"
Niguiris,SURIMI,"Kanikama","Crab stick","Kanikama"
Niguiris,CREVETTE,"Crevette","Shrimp","Camarón"
Niguiris,TUNA,"Thon","Tuna","Atún"
